measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Ethiopia,Male,All ages,Enteric infections,Number,2003,57106.822162161996,90890.69339777397,31276.91074366848
Deaths,Ethiopia,Female,All ages,Enteric infections,Number,2003,37023.317031968865,60971.253866074614,20606.698280299035
Deaths,Ethiopia,Male,All ages,Other infectious diseases,Number,2003,64180.30225412095,82969.14713951093,45661.61890761146
Deaths,Ethiopia,Female,All ages,Other infectious diseases,Number,2003,54468.649519622486,73957.84810453646,36308.140520266345
Deaths,Ethiopia,Male,All ages,Maternal and neonatal disorders,Number,2003,75707.73864039464,84608.04368211393,65712.75439813647
Deaths,Ethiopia,Female,All ages,Maternal and neonatal disorders,Number,2003,80758.70885688854,90443.43253563099,70983.41711650023
Deaths,Ethiopia,Male,All ages,Substance use disorders,Number,2003,609.3019450595841,1032.111662983673,360.4328336963626
Deaths,Ethiopia,Female,All ages,Substance use disorders,Number,2003,411.96137169454107,620.6251501291243,250.6527126051731
Deaths,Ethiopia,Male,All ages,Diabetes and kidney diseases,Number,2003,13422.656419667037,17965.98498821708,9914.507231214859
Deaths,Ethiopia,Female,All ages,Diabetes and kidney diseases,Number,2003,9013.784533549195,11651.693297954265,6582.960293449775
Deaths,Nigeria,Male,All ages,Chronic respiratory diseases,Number,2003,13455.323804878579,21663.596593632825,8258.2930793742
Deaths,Nigeria,Female,All ages,Chronic respiratory diseases,Number,2003,6396.397822645962,11275.014203066583,3849.4948345896173
Deaths,Nigeria,Male,All ages,Transport injuries,Number,2003,25252.788622127668,36032.272352519474,16352.827371860321
Deaths,Nigeria,Female,All ages,Transport injuries,Number,2003,10539.81567390409,18043.21210753713,5113.589057407059
Deaths,Kenya,Male,All ages,Self-harm and interpersonal violence,Number,2003,8048.07476035363,11620.86930483907,5336.380259683802
Deaths,Kenya,Female,All ages,Self-harm and interpersonal violence,Number,2003,2196.702150984477,3343.5725969266523,1355.1843827674008
Deaths,South Africa,Male,All ages,Transport injuries,Number,2006,14547.117072678642,19562.072857702948,11016.31391584516
Deaths,South Africa,Female,All ages,Transport injuries,Number,2006,5130.379234926854,6720.4657702318245,3596.8974359585022
Deaths,South Africa,Male,All ages,Unintentional injuries,Number,2006,6935.842860195775,7962.915028143659,5869.211323987367
Deaths,South Africa,Female,All ages,Unintentional injuries,Number,2006,3125.430937832775,3542.59274135911,2713.3611477807763
Deaths,Ethiopia,Male,All ages,Musculoskeletal disorders,Number,2006,589.044887872923,963.7186760057174,306.5800521181368
Deaths,Ethiopia,Female,All ages,Musculoskeletal disorders,Number,2006,341.0819170230731,521.9026118429675,199.25943883196499
Deaths,Ethiopia,Male,All ages,Other non-communicable diseases,Number,2006,12924.784799823583,18012.591220299553,9166.096686726212
Deaths,Ethiopia,Female,All ages,Other non-communicable diseases,Number,2006,17068.26161341955,23333.22421515644,11938.874384416387
Deaths,Kenya,Male,All ages,Transport injuries,Number,2003,4422.338445567407,7137.125448520927,2643.1008092109237
Deaths,Kenya,Female,All ages,Transport injuries,Number,2003,1717.4094163674563,2718.1541318607137,974.5627033430029
Deaths,Egypt,Male,All ages,Nutritional deficiencies,Number,2005,307.8782161506849,508.84999624355123,212.82836141082763
Deaths,Egypt,Female,All ages,Nutritional deficiencies,Number,2005,326.743785192319,411.72540328415585,257.4875043663337
Deaths,Ethiopia,Male,All ages,Cardiovascular diseases,Number,2006,28733.972950397194,38013.8950839914,21274.959025746764
Deaths,Ethiopia,Female,All ages,Cardiovascular diseases,Number,2006,23240.08164616763,31722.877842041955,16801.116808526403
Deaths,South Africa,Male,All ages,Cardiovascular diseases,Number,2005,29634.672816980565,32830.35693649102,26634.30390851753
Deaths,South Africa,Female,All ages,Cardiovascular diseases,Number,2005,35774.92110596729,39617.227529924,30934.41764065284
Deaths,South Africa,Male,All ages,Skin and subcutaneous diseases,Number,2005,323.60293207033806,423.70643473331637,243.7624517534601
Deaths,South Africa,Female,All ages,Skin and subcutaneous diseases,Number,2005,504.49549507243063,629.7620199249861,391.0548229404461
Deaths,Egypt,Male,All ages,Neglected tropical diseases and malaria,Number,2004,327.2045292629673,438.92601351199585,220.87664078342522
Deaths,Egypt,Female,All ages,Neglected tropical diseases and malaria,Number,2004,248.3985538355972,344.8625584756529,177.75470520107763
Deaths,Egypt,Male,All ages,Digestive diseases,Number,2004,28740.94322861106,37653.05706105778,20675.620822622946
Deaths,Egypt,Female,All ages,Digestive diseases,Number,2004,19937.978098893385,29213.216711244364,13526.326285718267
Deaths,Egypt,Male,All ages,Neurological disorders,Number,2004,3267.1996414182913,7214.70206065544,1529.0239211155374
Deaths,Egypt,Female,All ages,Neurological disorders,Number,2004,3225.2322538537364,7179.974458715483,1439.3649065068923
Deaths,Egypt,Male,All ages,Self-harm and interpersonal violence,Number,2004,1401.3441164089068,2233.339408155633,887.3038143099798
Deaths,Egypt,Female,All ages,Self-harm and interpersonal violence,Number,2004,368.890164040268,528.319326386327,241.68790028398868
Deaths,Kenya,Male,All ages,Neoplasms,Number,2003,6920.371017887552,8190.720724317741,5862.1977832122475
Deaths,Kenya,Female,All ages,Neoplasms,Number,2003,10130.802436259763,12011.724214396416,8646.143891571908
Deaths,Nigeria,Male,All ages,Cardiovascular diseases,Number,2006,71598.45294590255,97054.13730051469,50472.17270841561
Deaths,Nigeria,Female,All ages,Cardiovascular diseases,Number,2006,73592.31756219162,94918.92172582776,54130.31992963948
Deaths,Nigeria,Male,All ages,Cardiovascular diseases,Number,2005,70764.84496828461,94891.14655155093,50793.9151445407
Deaths,Nigeria,Female,All ages,Cardiovascular diseases,Number,2005,73212.76089808959,96277.8508764142,54209.700521086954
Deaths,Ethiopia,Male,All ages,Neglected tropical diseases and malaria,Number,2006,20345.221687854722,34173.38956011876,11473.686001366996
Deaths,Ethiopia,Female,All ages,Neglected tropical diseases and malaria,Number,2006,20659.160083463106,34781.59685451171,10884.643081222759
Deaths,Ethiopia,Male,All ages,Chronic respiratory diseases,Number,2006,6722.722418302378,9947.072782613359,4429.007347104237
Deaths,Ethiopia,Female,All ages,Chronic respiratory diseases,Number,2006,3481.4496137026135,5041.81893479387,2139.695353801635
Deaths,Nigeria,Male,All ages,Skin and subcutaneous diseases,Number,2005,1124.2028680605633,1977.8778362124597,505.51092408158763
Deaths,Nigeria,Female,All ages,Skin and subcutaneous diseases,Number,2005,1287.128672791292,2219.1900049733636,635.7052883890278
Deaths,Nigeria,Male,All ages,Nutritional deficiencies,Number,2006,16960.784843751506,31683.302366677028,9527.401980100545
Deaths,Nigeria,Female,All ages,Nutritional deficiencies,Number,2006,30569.96287762618,41464.34315453811,22395.133396595018
Deaths,Ethiopia,Male,All ages,HIV/AIDS and sexually transmitted infections,Number,2006,20298.554372029113,25555.985151806177,14234.022384485
Deaths,Ethiopia,Female,All ages,HIV/AIDS and sexually transmitted infections,Number,2006,30213.064044866267,39256.308218469836,22235.500840059314
Deaths,Ethiopia,Male,All ages,Respiratory infections and tuberculosis,Number,2006,68824.69843281341,87182.88652269152,53077.34237315394
Deaths,Ethiopia,Female,All ages,Respiratory infections and tuberculosis,Number,2006,47965.115360451826,63190.85314399951,34438.995878363516
Deaths,Ethiopia,Male,All ages,Enteric infections,Number,2006,47175.64572257769,74904.49359654545,26392.80168397633
Deaths,Ethiopia,Female,All ages,Enteric infections,Number,2006,32250.087024656885,51430.95809449894,18712.46413405042
Deaths,Ethiopia,Male,All ages,Other infectious diseases,Number,2006,53672.845787601706,68747.01402295944,38420.33063519841
Deaths,Ethiopia,Female,All ages,Other infectious diseases,Number,2006,44947.33587380298,61820.898803119024,31331.046622576752
Deaths,Ethiopia,Male,All ages,Maternal and neonatal disorders,Number,2006,73700.58660522682,82209.5108321126,65487.8131155066
Deaths,Ethiopia,Female,All ages,Maternal and neonatal disorders,Number,2006,73375.52241119137,81802.3637867345,65783.98747481202
Deaths,Ethiopia,Male,All ages,Substance use disorders,Number,2006,663.0864116490889,1075.0949134887628,385.5811592295357
Deaths,Ethiopia,Female,All ages,Substance use disorders,Number,2006,449.4697888241235,663.0749752030017,301.6660425050733
Deaths,Ethiopia,Male,All ages,Diabetes and kidney diseases,Number,2006,14312.755868622118,18862.800107436422,11014.03667962321
Deaths,Ethiopia,Female,All ages,Diabetes and kidney diseases,Number,2006,9604.299778673356,12247.446619514303,7317.585621454847
Deaths,Ethiopia,Male,All ages,Skin and subcutaneous diseases,Number,2006,641.1223206222102,1165.6363491772502,345.24323328818946
Deaths,Ethiopia,Female,All ages,Skin and subcutaneous diseases,Number,2006,667.2511490881355,1323.738870717913,289.79271641823954
Deaths,Ethiopia,Male,All ages,Transport injuries,Number,2006,11890.445437011127,17835.138024342545,7515.892623545767
Deaths,Ethiopia,Female,All ages,Transport injuries,Number,2006,4771.253396053369,7125.50035099834,2900.946947963354
Deaths,Ethiopia,Male,All ages,Unintentional injuries,Number,2006,20159.895261896985,27372.48018444311,14557.760783526839
Deaths,Ethiopia,Female,All ages,Unintentional injuries,Number,2006,9644.12881419678,12656.525879077657,6765.96902361852
Deaths,Ethiopia,Male,All ages,Digestive diseases,Number,2006,20908.33270261821,29691.501433639634,14130.886082604156
Deaths,Ethiopia,Female,All ages,Digestive diseases,Number,2006,10326.808925182368,15005.341258133623,6901.703756593799
Deaths,Nigeria,Male,All ages,Substance use disorders,Number,2005,1063.397204551974,1797.9301052689084,581.5205983868865
Deaths,Nigeria,Female,All ages,Substance use disorders,Number,2005,228.3696356583634,353.57866850530735,131.60102364718313
Deaths,Nigeria,Male,All ages,Diabetes and kidney diseases,Number,2005,25072.183459158874,35022.75337419369,18373.134868146015
Deaths,Nigeria,Female,All ages,Diabetes and kidney diseases,Number,2005,13453.142185638786,17833.91351181661,9453.450160436983
Deaths,South Africa,Male,All ages,Cardiovascular diseases,Number,2004,29636.832590097856,32884.07053723314,26509.836705576792
Deaths,South Africa,Female,All ages,Cardiovascular diseases,Number,2004,34668.71504476635,38178.32359540951,29994.967954090105
Deaths,South Africa,Male,All ages,Skin and subcutaneous diseases,Number,2004,322.33760171679955,410.22916630334026,245.06765240072
Deaths,South Africa,Female,All ages,Skin and subcutaneous diseases,Number,2004,489.9993419823497,618.8317569192483,378.13085666387275
Deaths,Egypt,Male,All ages,Nutritional deficiencies,Number,2004,335.8333827580631,551.6807366108653,225.8179739766874
Deaths,Egypt,Female,All ages,Nutritional deficiencies,Number,2004,423.8846248320824,529.4995892698024,333.3332537867591
Deaths,Ethiopia,Male,All ages,Self-harm and interpersonal violence,Number,2006,15727.435174472748,22965.640097130734,11408.606548346954
Deaths,Ethiopia,Female,All ages,Self-harm and interpersonal violence,Number,2006,4622.498529264922,6435.665426872884,3173.262047595571
Deaths,Nigeria,Male,All ages,Chronic respiratory diseases,Number,2005,13950.56049189505,21426.657367440064,9030.811100042889
